	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000121410	A1BG	99	153	471	224	70	102
ENSG00000268895	A1BG-AS1	20	62	65	32	21	27
ENSG00000148584	A1CF	9	8	8	0	6	13
ENSG00000175899	A2M	337	128	464	115	281	116
ENSG00000245105	A2M-AS1	38	64	27	33	63	34
ENSG00000166535	A2ML1	22	12	4	18	6	13
ENSG00000256069	A2MP1	17	0	14	0	5	1
ENSG00000291190	A3GALT2	0	0	0	0	0	0
ENSG00000184389	A4GALT	3	19	14	5	11	0
ENSG00000128274	A4GNT	2	1	0	3	0	0
ENSG00000118017	AA06	0	0	3	0	0	0
ENSG00000265544	AAAS	89	120	265	187	292	87
ENSG00000094914	AACS	256	676	377	551	555	367
ENSG00000081760	AACSP1	4	2	0	2	0	0
ENSG00000250420	AADAC	2	0	4	0	0	0
ENSG00000291019	AADACL2	0	0	0	0	0	0
ENSG00000114771	AADACL2-AS1	2	0	0	0	0	0
ENSG00000197953	AADACL3	4	0	0	0	0	0
ENSG00000242908	AADACL4	1	0	0	0	0	1
ENSG00000188984	AADACP1	3	6	2	1	1	0
ENSG00000204518	AADAT	135	95	123	141	187	127
ENSG00000240602	AAED1	41	77	41	62	122	46
ENSG00000291076	AAGAB	417	783	1330	1140	1128	702
ENSG00000109576	AAK1	2528	4313	4828	5024	4708	3155
None	AAMDC	123	208	273	188	175	8
ENSG00000103591	AAMP	263	792	959	774	1010	279
ENSG00000115977	AANAT	2	11	10	14	15	2
ENSG00000087884	AAR2	41	160	210	168	141	93
ENSG00000127837	AARD	41	72	48	122	228	72
ENSG00000129673	AARS	810	1924	1648	2148	1961	698
ENSG00000131043	AARS2	52	123	158	112	137	78
ENSG00000205002	AARSD1	5	0	5	1	1	0
None	AASDH	137	277	239	181	270	66
ENSG00000124608	AASDHPPT	2163	3290	4179	2937	4573	1554
ENSG00000108825	AASS	189	68	197	86	125	117
ENSG00000266967	AATBC	5	1	0	1	1	0
ENSG00000157426	AATF	265	393	420	306	262	150
ENSG00000149313	AATK	213	296	402	337	344	409
ENSG00000008311	AATK-AS1	0	0	0	0	1	0
ENSG00000215458	ABALON	40	73	168	106	119	54
ENSG00000275700	ABAT	2468	3454	4973	3800	4143	2995
ENSG00000181409	ABCA1	369	435	556	152	255	101
None	ABCA10	49	136	145	183	143	67
ENSG00000281376	ABCA11P	21	33	190	97	127	26
ENSG00000183044	ABCA12	9	23	6	4	0	7
ENSG00000165029	ABCA13	16	23	3	5	3	14
ENSG00000154263	ABCA17P	37	41	102	68	57	10
ENSG00000251595	ABCA2	344	637	566	559	540	482
ENSG00000293360	ABCA3	661	1104	1405	1478	1439	986
ENSG00000144452	ABCA4	12	4	1	1	1	0
ENSG00000179869	ABCA5	1383	2433	2947	3289	3760	1601
ENSG00000238098	ABCA6	54	116	149	72	144	86
ENSG00000293423	ABCA7	192	281	322	300	256	321
ENSG00000107331	ABCA8	265	92	105	61	76	124
ENSG00000167972	ABCA9	74	142	117	129	162	79
ENSG00000198691	ABCA9-AS1	1	0	4	0	0	0
ENSG00000154265	ABCB1	82	44	41	15	25	26
ENSG00000154262	ABCB10	183	253	374	226	216	127
ENSG00000064687	ABCB11	11	9	3	0	1	5
ENSG00000141338	ABCB4	11	0	4	9	0	1
ENSG00000154258	ABCB5	11	5	7	2	1	9
ENSG00000231749	ABCB6	314	440	601	549	407	237
ENSG00000085563	ABCB7	39	144	171	91	187	76
ENSG00000135776	ABCB8	91	130	250	210	311	137
ENSG00000073734	ABCB9	83	140	86	239	228	178
ENSG00000005471	ABCC1	172	265	283	369	202	228
ENSG00000004846	ABCC10	48	132	48	93	65	26
ENSG00000115657	ABCC11	6	13	9	0	4	0
ENSG00000131269	ABCC12	10	4	2	1	0	0
ENSG00000197150	ABCC13	4	6	4	0	2	2
ENSG00000150967	ABCC2	4	0	1	3	0	1
ENSG00000103222	ABCC3	21	30	3	1	0	10
ENSG00000124574	ABCC4	37	67	68	83	116	45
ENSG00000121270	ABCC5	865	1591	1472	1383	1389	938
ENSG00000140798	ABCC5-AS1	0	0	1	1	0	0
ENSG00000243064	ABCC6	29	6	10	8	11	6
ENSG00000291052	ABCC6P1	1	0	0	2	1	0
ENSG00000023839	ABCC6P2	1	1	1	1	0	1
ENSG00000108846	ABCC8	94	144	305	95	101	79
ENSG00000125257	ABCC9	58	12	81	3	0	41
ENSG00000114770	ABCD1	6	7	21	14	13	0
ENSG00000223882	ABCD2	121	230	176	235	282	163
ENSG00000091262	ABCD3	817	1077	1397	1260	1575	873
ENSG00000256340	ABCD4	72	236	246	200	204	69
ENSG00000291057	ABCE1	611	915	1491	1043	1447	416
ENSG00000255277	ABCF1	383	1161	1011	1020	1247	525
ENSG00000290943	ABCF2	381	800	607	868	984	414
ENSG00000006071	ABCF3	295	849	608	859	913	213
ENSG00000069431	ABCG1	120	243	246	383	361	189
ENSG00000101986	ABCG2	127	106	97	57	54	7
ENSG00000173208	ABCG4	202	363	437	626	468	362
ENSG00000117528	ABCG5	7	4	0	6	13	14
ENSG00000119688	ABCG8	9	0	2	4	7	1
ENSG00000164163	ABHD1	55	52	30	50	18	22
ENSG00000204574	ABHD10	754	1227	1531	1491	1941	930
ENSG00000033050	ABHD11	76	358	371	427	345	162
ENSG00000285292	ABHD11-AS1	0	0	0	3	0	0
ENSG00000161204	ABHD12	640	1182	1390	1815	1891	987
ENSG00000160179	ABHD12B	23	66	147	66	82	17
ENSG00000118777	ABHD13	98	353	311	398	542	138
ENSG00000172350	ABHD14A	473	1196	1578	1017	1687	225
ENSG00000138075	ABHD14A-ACY1	0	0	0	0	0	0
ENSG00000143921	ABHD14B	69	63	117	41	87	49
ENSG00000143994	ABHD15	9	32	34	4	26	1
ENSG00000144827	ABHD16A	511	1286	1125	1117	1412	517
ENSG00000106077	ABHD16B	22	5	16	45	20	50
None	ABHD17A	13	23	41	53	29	29
ENSG00000100997	ABHD17B	206	568	460	539	551	255
ENSG00000131969	ABHD17C	147	172	224	147	179	87
ENSG00000139826	ABHD2	1101	1450	1497	2446	2388	1403
ENSG00000248487	ABHD3	417	430	454	638	873	276
ENSG00000114786	ABHD4	57	78	140	73	105	27
ENSG00000114779	ABHD5	207	236	328	273	442	141
ENSG00000168792	ABHD6	177	280	359	353	349	126
ENSG00000204427	ABHD8	152	329	265	258	296	154
ENSG00000183260	ABI1	545	674	871	949	1125	356
ENSG00000129968	ABI2	1085	2172	2109	2149	2686	1291
ENSG00000107362	ABI3	4	12	13	4	10	0
ENSG00000136379	ABI3BP	27	1	46	11	28	3
ENSG00000140526	ABL1	146	238	193	129	169	189
ENSG00000158201	ABL2	268	435	532	484	583	513
ENSG00000100439	ABLIM1	814	1177	1742	1569	2286	658
ENSG00000011198	ABLIM2	492	620	532	763	460	507
ENSG00000163686	ABLIM3	237	269	433	367	271	308
ENSG00000127220	ABO	2	8	1	12	1	3
ENSG00000136754	ABR	994	1856	2283	1745	1610	2045
ENSG00000138443	ABRA	3	2	1	2	0	2
ENSG00000108798	ABRACL	44	122	246	44	68	61
ENSG00000154175	ABT1	103	227	411	382	379	118
ENSG00000097007	ABTB1	74	179	187	175	171	118
ENSG00000143322	ABTB2	73	45	32	37	9	37
ENSG00000099204	ACAA1	674	1071	2005	1250	1860	468
ENSG00000163995	ACAA2	86	56	175	33	79	10
ENSG00000173210	ACACA	512	1229	1099	1400	1549	598
ENSG00000175164	ACACB	66	71	14	0	9	30
ENSG00000159842	ACAD10	105	111	142	107	94	44
ENSG00000174429	ACAD11	2	0	1	0	4	0
ENSG00000146386	ACAD8	168	250	340	295	341	50
ENSG00000146109	ACAD9	224	505	551	710	634	280
ENSG00000114626	ACADL	12	3	5	22	1	1
ENSG00000166016	ACADM	1027	2545	3276	2123	3931	383
ENSG00000060971	ACADS	49	62	41	52	35	53
ENSG00000167315	ACADSB	415	657	871	697	958	313
ENSG00000278540	ACADVL	1185	1814	1923	1980	2008	836
ENSG00000076555	ACAN	5	3	2	2	0	7
ENSG00000111271	ACAP1	82	148	188	230	161	50
ENSG00000240303	ACAP2	295	656	768	537	861	376
ENSG00000151498	ACAP3	81	180	206	215	182	195
ENSG00000177646	ACAT1	813	1534	1946	1487	2201	341
ENSG00000115361	ACAT2	864	1571	1806	1939	2229	592
ENSG00000117054	ACBD3	531	1057	1410	1279	1665	505
ENSG00000122971	ACBD4	17	24	31	65	53	20
