Protein names,Gene names,Ctrl N02,Ctrl N04,Ctrl N06,Ctrl N08,Ctrl N10,PD N01,PD N03,PD N05,PD N07,PD N09
UPF0577 protein KIAA1324-like,KIAA1324L,19.966131846110027,19.2542781829834,19.632795969645183,19.737001419067383,19.871854782104492,19.260406494140625,19.837886810302734,19.10577901204427,19.495697021484375,20.00988705952962
AH receptor-interacting protein,AIP,18.94346872965495,18.52734438578288,18.50613021850586,18.45245933532715,18.692534764607746,18.369743982950848,18.577452341715496,18.477209726969402,17.744883855183918,18.362340927124023
Pyridoxal kinase,PDXK,18.507750193277996,20.44687779744466,20.318251927693684,20.23245620727539,20.54819615681966,19.327519098917644,20.553290049235027,20.446063995361328,20.192881902058918,20.35946210225423
"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",COX7A2L,21.19280433654785,20.875523885091145,20.601264317830402,20.437866210937496,20.942814509073894,19.411259333292644,20.746225992838543,20.529189427693684,20.21648343404134,20.504788716634113
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,19.69821039835612,20.262522379557293,20.049912134806316,18.779685974121094,20.020041783650715,18.39988072713216,20.282400131225586,19.433076858520508,20.12021255493164,19.76199467976888
Mitochondrial import inner membrane translocase subunit Tim8 A,TIMM8A,20.395474751790363,19.89971987406413,20.215195337931316,20.177508036295574,20.56221071879069,18.323318481445312,19.71151288350423,20.004078547159832,19.865865071614582,19.87237548828125
Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,19.77172597249349,20.263232549031574,20.829320271809895,20.355273564656574,20.803693135579426,20.276946385701496,20.022733052571613,20.443871180216473,18.998694737752277,19.99176851908366
Clathrin coat assembly protein AP180,SNAP91,20.142767588297527,21.629093805948894,21.722802480061848,21.546708424886067,21.449360529581707,18.962148666381836,21.545162200927734,21.12366994222005,21.911118189493816,21.842939376831055
Reticulon-3,RTN3,19.90655771891276,20.95575205485026,21.530666987101238,21.081002553304035,20.942780176798504,19.07335154215495,21.117632548014324,21.260522842407227,20.135040283203125,18.366971333821613
Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,17.821456909179688,19.292263666788738,19.220476786295574,19.080189387003582,19.29561487833659,18.608876546223957,18.990500768025715,19.167930603027344,18.821196873982746,18.21067174275716
Long-chain-fatty-acid--CoA ligase 3,ACSL3,19.276431401570637,19.162146886189777,20.055830637613933,19.309834162394207,20.304840087890625,19.256145477294922,19.503796259562176,19.713382085164387,18.539438247680664,19.03709348042806
Phosphatidate cytidylyltransferase 2,CDS2,19.33400281270345,19.73528544108073,20.035239537556965,19.749954223632812,20.30638821919759,19.021728515625,19.997831344604492,18.476155598958332,17.93096923828125,17.679705301920574
